title,author,url,date,date_utc,post_likes,comment_count,views,comment,comment_likes,query_hashtag
✨ Moxie just got a big upgrade! 🥳 What's new? Watch our explainer video to find out. 👀 Want to join the Moxie family? Visit www.moxierobot.com to find out more and get yours. ❤️ #moxierobot #productupdate #moxie #aiforgood #childdevelopment #kidsdevelopment #socialemotionallearning #kidsproducts #companionrobots,moxierobot,https://www.tiktok.com/@moxierobot/video/7293571351279963435,1698166940,2023-10-24 17:02:20,1421,90,81300,We need Moxie in Australia please,4,moxierobot
✨ Moxie just got a big upgrade! 🥳 What's new? Watch our explainer video to find out. 👀 Want to join the Moxie family? Visit www.moxierobot.com to find out more and get yours. ❤️ #moxierobot #productupdate #moxie #aiforgood #childdevelopment #kidsdevelopment #socialemotionallearning #kidsproducts #companionrobots,moxierobot,https://www.tiktok.com/@moxierobot/video/7293571351279963435,1698166940,2023-10-24 17:02:20,1421,90,81300,"Bu noooo, parents are the ones who shall help their children!",3,moxierobot
✨ Moxie just got a big upgrade! 🥳 What's new? Watch our explainer video to find out. 👀 Want to join the Moxie family? Visit www.moxierobot.com to find out more and get yours. ❤️ #moxierobot #productupdate #moxie #aiforgood #childdevelopment #kidsdevelopment #socialemotionallearning #kidsproducts #companionrobots,moxierobot,https://www.tiktok.com/@moxierobot/video/7293571351279963435,1698166940,2023-10-24 17:02:20,1421,90,81300,What are the securities on these? Unauthorized recording or sending images ? Hacking ?,6,moxierobot
✨ Moxie just got a big upgrade! 🥳 What's new? Watch our explainer video to find out. 👀 Want to join the Moxie family? Visit www.moxierobot.com to find out more and get yours. ❤️ #moxierobot #productupdate #moxie #aiforgood #childdevelopment #kidsdevelopment #socialemotionallearning #kidsproducts #companionrobots,moxierobot,https://www.tiktok.com/@moxierobot/video/7293571351279963435,1698166940,2023-10-24 17:02:20,1421,90,81300,We just got it for my sons Christmas present,2,moxierobot
✨ Moxie just got a big upgrade! 🥳 What's new? Watch our explainer video to find out. 👀 Want to join the Moxie family? Visit www.moxierobot.com to find out more and get yours. ❤️ #moxierobot #productupdate #moxie #aiforgood #childdevelopment #kidsdevelopment #socialemotionallearning #kidsproducts #companionrobots,moxierobot,https://www.tiktok.com/@moxierobot/video/7293571351279963435,1698166940,2023-10-24 17:02:20,1421,90,81300,this is better than the imaginary friend,1,moxierobot
✨ Moxie just got a big upgrade! 🥳 What's new? Watch our explainer video to find out. 👀 Want to join the Moxie family? Visit www.moxierobot.com to find out more and get yours. ❤️ #moxierobot #productupdate #moxie #aiforgood #childdevelopment #kidsdevelopment #socialemotionallearning #kidsproducts #companionrobots,moxierobot,https://www.tiktok.com/@moxierobot/video/7293571351279963435,1698166940,2023-10-24 17:02:20,1421,90,81300,We need this in uk,1,moxierobot
✨ Moxie just got a big upgrade! 🥳 What's new? Watch our explainer video to find out. 👀 Want to join the Moxie family? Visit www.moxierobot.com to find out more and get yours. ❤️ #moxierobot #productupdate #moxie #aiforgood #childdevelopment #kidsdevelopment #socialemotionallearning #kidsproducts #companionrobots,moxierobot,https://www.tiktok.com/@moxierobot/video/7293571351279963435,1698166940,2023-10-24 17:02:20,1421,90,81300,I actually need her like yesterday,0,moxierobot
✨ Moxie just got a big upgrade! 🥳 What's new? Watch our explainer video to find out. 👀 Want to join the Moxie family? Visit www.moxierobot.com to find out more and get yours. ❤️ #moxierobot #productupdate #moxie #aiforgood #childdevelopment #kidsdevelopment #socialemotionallearning #kidsproducts #companionrobots,moxierobot,https://www.tiktok.com/@moxierobot/video/7293571351279963435,1698166940,2023-10-24 17:02:20,1421,90,81300,I can’t wait to get this for my son,4,moxierobot
✨ Moxie just got a big upgrade! 🥳 What's new? Watch our explainer video to find out. 👀 Want to join the Moxie family? Visit www.moxierobot.com to find out more and get yours. ❤️ #moxierobot #productupdate #moxie #aiforgood #childdevelopment #kidsdevelopment #socialemotionallearning #kidsproducts #companionrobots,moxierobot,https://www.tiktok.com/@moxierobot/video/7293571351279963435,1698166940,2023-10-24 17:02:20,1421,90,81300,How are they updated? Do I need to buy a new one? Is there an upgrade policy?,4,moxierobot
✨ Moxie just got a big upgrade! 🥳 What's new? Watch our explainer video to find out. 👀 Want to join the Moxie family? Visit www.moxierobot.com to find out more and get yours. ❤️ #moxierobot #productupdate #moxie #aiforgood #childdevelopment #kidsdevelopment #socialemotionallearning #kidsproducts #companionrobots,moxierobot,https://www.tiktok.com/@moxierobot/video/7293571351279963435,1698166940,2023-10-24 17:02:20,1421,90,81300,How is OpenMoxie going?,0,moxierobot
