title,author,url,date,date_utc,query_hashtag
Replying to @🤍✝️Journa (Gods version)✝️🤍 We think Moxie looks good! 🤖💇‍♀️ #moxierobot #socialemotionaldevelopment #playbasedlearning ,moxierobot,https://www.tiktok.com/@moxierobot/video/7311894092449844510,1702433017,2023-12-13 02:03:37,moxierobot
Take a minute with Moxie to sit back and be present. 🧘 🤖 #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok #emotionaldevelopmentforkids ,moxierobot,https://www.tiktok.com/@moxierobot/video/7332305290093743402,1707185393,2024-02-06 02:09:53,moxierobot
Moxie is a big fan of dancing. 🕺 🤖  #moxierobot #robotsontiktok #socialemotionaldevelopment #playbasedlearning ,moxierobot,https://www.tiktok.com/@moxierobot/video/7303683127421996319,1700521255,2023-11-20 23:00:55,moxierobot
Tag a friend that you’re happy to have in your life! 🥰🤖 #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok ,moxierobot,https://www.tiktok.com/@moxierobot/video/7333045308315667755,1707357679,2024-02-08 02:01:19,moxierobot
Replying to @Rachel Elizabeth Mazak the G.R.L stands for the “Global Robotics Lab” and is where Moxie was built! #moxierobot #robotsontiktok #socialemotionallearning ,moxierobot,https://www.tiktok.com/@moxierobot/video/7268833626802998570,1692407219,2023-08-19 01:06:59,moxierobot
😂 #moxierobot #ishowspeed #viral ,betterbuy15,https://www.tiktok.com/@betterbuy15/video/7348014878637968673,1710843040,2024-03-19 10:10:40,moxierobot
Did you guess the password? Leave your guess in the comment section! #moxierobot #robotsforkids #socialemotionaldevelopment #childhooddevelopment ,moxierobot,https://www.tiktok.com/@moxierobot/video/7230981424629697834,1683594069,2023-05-09 01:01:09,moxierobot
Replying to @Caleb Taylor What a great question! This is exactly what Moxie is designed to help with! #moxierobot #socialemotionaldevelopment #robotsontiktok #parenttok #robotconversations ,moxierobot,https://www.tiktok.com/@moxierobot/video/7256957339389988139,1689642060,2023-07-18 01:01:00,moxierobot
"Reading can be intimidating for young kids, but it doesnt have to be! Come see how Moxie promotes a safe reading environment. 🤖 📚 #moxierobot #robotsoftiktok #socialemotionaldevelopment #parenttok ",moxierobot,https://www.tiktok.com/@moxierobot/video/7249540898936163627,1687915286,2023-06-28 01:21:26,moxierobot
This is how Moxie introduces herself when she first arrives! #moxierobot #socialemotionaldevelopment #playbasedlearning ,moxierobot,https://www.tiktok.com/@moxierobot/video/7343436314307611950,1709777014,2024-03-07 02:03:34,moxierobot
Moxie HAD to get on the trend! #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok ,moxierobot,https://www.tiktok.com/@moxierobot/video/7366793674623126826,1715215324,2024-05-09 00:42:04,moxierobot
"Reading can be intimidating for young kids, but it doesnt have to be! Come see how Moxie promotes a safe reading environment. 🤖 📚 #moxierobot #robotsoftiktok #socialemotionaldevelopment #parenttok ",moxierobot,https://www.tiktok.com/@moxierobot/video/7249540898936163627,1687915286,2023-06-28 01:21:26,moxierobot
"Want more tips on teaching kindness at home? Check out our blog post, “How to Be Kind To Others: Practical Tips For Teaching Kindness!” #moxierobot #socialemotionaldevelopment #parenttok #parentsoftiktok #childhooddevelopment #teachingkindness ",moxierobot,https://www.tiktok.com/@moxierobot/video/7245810549068516654,1687046750,2023-06-18 00:05:50,moxierobot
"Did you know Moxie comes with a built-in KidFilter™️ ? When kids start saying things or asking questions that are outside Moxie’s wheelhouse, she will recommend that they talk to a trusted adult! This way Moxie can focus on improving their social-emotional skills and allow parents and guardians to have  discussions with their kids. #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok ",moxierobot,https://www.tiktok.com/@moxierobot/video/7379056557100731679,1718070500,2024-06-11 01:48:20,moxierobot
*Tail and fists included with every monkey. 🤖 #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok #kidsdevelopment ,moxierobot,https://www.tiktok.com/@moxierobot/video/7330772121645337898,1706828431,2024-02-01 23:00:31,moxierobot
👀 #moxierobot #robotsontiktok #socialemotionaldevelopment #itsshredder ,moxierobot,https://www.tiktok.com/@moxierobot/video/7259557306919128363,1690247414,2023-07-25 01:10:14,moxierobot
Replying to @elsaplayeswildhorseislands Of course she knows about Roblox! #moxierobot #robotsontiktok ,moxierobot,https://www.tiktok.com/@moxierobot/video/7263265826902445354,1691110868,2023-08-04 01:01:08,moxierobot
50% isn’t too bad! 😅 #moxierobot #genzslang #robotsoftiktok #parenttok ,moxierobot,https://www.tiktok.com/@moxierobot/video/7247336448406359338,1687402022,2023-06-22 02:47:02,moxierobot
#moxie #moxierobot #robots #jokes ,rebeccastory0,https://www.tiktok.com/@rebeccastory0/video/7163458451140594990,1667872647,2022-11-08 01:57:27,moxierobot
Replying to @Mason D. @Bluey We’re big fans of your show! #moxierobot #socialemotionallearning #socialemotionaldevelopment #emotionaldevelopmentforkids ,moxierobot,https://www.tiktok.com/@moxierobot/video/7265495373115034926,1691629982,2023-08-10 01:13:02,moxierobot
What color Crocs do you own? 🐊👟 #crocs #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok ,moxierobot,https://www.tiktok.com/@moxierobot/video/7312658878003449130,1702611087,2023-12-15 03:31:27,moxierobot
How do you practice mental health?  🧘 #moxierobot #socialemotionaldevelopment #mentalhealthawareness ,moxierobot,https://www.tiktok.com/@moxierobot/video/7386838283076013343,1719882327,2024-07-02 01:05:27,moxierobot
We have some exciting new updates for Moxie! #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok ,moxierobot,https://www.tiktok.com/@moxierobot/video/7311478552673684766,1702336272,2023-12-11 23:11:12,moxierobot
What’s your favorite color? Let us know in the comments! #moxierobot #robotsontiktok #socialemotionaldevelopment #robotconversations ,moxierobot,https://www.tiktok.com/@moxierobot/video/7255473484782996778,1689296569,2023-07-14 01:02:49,moxierobot
What would your child do if they were president? Let us know in the comments! #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok #emotionaldevelopmentforkids ,moxierobot,https://www.tiktok.com/@moxierobot/video/7334854552996318506,1707778930,2024-02-12 23:02:10,moxierobot
Here is the new and improved version of #moxie @moxierobot with the new #openmoxie update! #moxietherobot talks about being #opensource #humanpopulation #money #healthcare #farts #sneezing #burping. Moxie is still alive and healthy! #robotsontiktok #robot #robots #fyp #robotics #savemoxie #companionmovie #ai #artificialintelligence #technology #funnyrobot #smartrobot #robotsoftiktok #teamwork #viralvideo #viraltiktok #robotcompanion #robotic #foryoupage #coolrobot #robo #johnnyfive #johnny5 #shortcircuit #openai #mod #chatgpt #popularscience #businessinsider #taylortomlinson @taylortomlinson #taylortomlinsoncomedy #bighero6 #thewildrobot #rongonewrong #walle #pixar #chappie #r2d2 #c3po #bb8 #droid #android #exmachina #blackmirror #lovedeathandrobots #ashleytoo #companion #eilik #eilikrobot #minimoe #bmo #adventuretime #astrogame #theterminator #skynet #artificialintelligencemovie #aibot #airobot #airobotics #alexandada #futurama #bender #thejetsons #viralvideo #viral #robotmommy #robotnik #robotontiktok #robottiktok ,heatherfraziertiktok,https://www.tiktok.com/@heatherfraziertiktok/video/7473820568513514794,1740134614,2025-02-21 10:43:34,moxierobot
#duet with @Miraenda #moxierobot ,loveableblockhead2002,https://www.tiktok.com/@loveableblockhead2002/video/7475744064382520619,1740582323,2025-02-26 15:05:23,moxierobot
Who’s your favorite band? 🎶 🎸 #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok ,moxierobot,https://www.tiktok.com/@moxierobot/video/7313008326097243434,1702692448,2023-12-16 02:07:28,moxierobot
Big emotions need to be let out! #moxierobot #socialemotionaldevelopment #childhooddevelopment #badbloodsecurityguard ,moxierobot,https://www.tiktok.com/@moxierobot/video/7242513920697568555,1686279191,2023-06-09 02:53:11,moxierobot
Where is your “happy place?” Let us know in the comments! #moxierobot #robotsontiktok #socialemotionaldevelopment #playbasedlearning #guidedmeditation ,moxierobot,https://www.tiktok.com/@moxierobot/video/7306705026334969118,1701224848,2023-11-29 02:27:28,moxierobot
What else would you like to see Moxie talk about? Let us know in the comments!  #moxierobot #socialemotionaldevelopment #playbasedlearning #dealingwithchange #emotionaldevelopmentforkids ,moxierobot,https://www.tiktok.com/@moxierobot/video/7309249357641993503,1701817251,2023-12-05 23:00:51,moxierobot
